According to this table, how many champions?	List those champions for different All-Star games.	List champions for different All-Star games.  74
which tournament use venue as beijing , pr china ?	which use turin , italy ?	which tournament use venue as turin , italy ?	48
which countries rank in bottom 5?	are all these countries from europe?	are all countries rank in bottom 5 from europe?	9
please give me the title of season 2 , episode 1 .	all titles	please give me all titles	3
what is the maximum number of points ?	average of them	average of the number of points	8
what rank did poland receive with a time of 1:50.12 ?	the south africa ?	what rank did south africa receive with a time of 1:50.12 ?	116
who is the builder for the location irton road shed	what about the location carriage shed and museum	who is the builder for the location carriage shed and museum	59
what agency does anderson clayton anderson work for ?	does musabeyev talgat musabayev work for	what agency does musabeyev talgat musabayev work for ?	6
show all dates in year 1943	show locations in that year	show locations in year 1943	24
what is the start number of roth racing ?	what is the finish number of it ?	what is the finish number of roth racing ?	27
In season 1988, is the overall equals to slalom plus giant slalom ?	what about other seasons?	which seasons the overall equals to slalom plus giant slalom excluding 1988 ?	90
position of 7th of 24 , and a goals smaller than 24 is what league ?	remove position of 7th of 24	a goals smaller than 24 is what league?	53
in which year university of southern maine joined ?	average of them for all institutions	average of year for all institutions joined	100
when was the last appearance of baltimore ravens ?	How about cleveland browns ?	when was the last appearance of cleveland browns ?	22
show all team websites that have capacity more than 1000	how about less than 800	show all team websites that have capacity less than 800	52
what 's lsu 's overall record ?	what about the road record	what 's lsu 's road record ?	81
which teams have ever ranked in the 2nd position	how many are they?	how many teams have ever ranked in the 2nd position	87
tell me the player for 7 round	of those, who is from swift current broncos ?	of the player for 7 round, who is from swift current broncos ?	64
who is the player with a fb position ?	Could it be possible that the player is in bc lions cfl team?	Who is the player in bc lion cfl team with fb position?	1
which result has a party of republican , and a first elected smaller than 1856 ?	for all first elected years	which result has a party of republican	103
ordered by the week from early to late, which opponent is the last?	which is the first ?	ordered by the week from early to late, which opponent is the first?	51
show the industry which has the most companies?	show in different countries.	show industry which has the most companys in different countries.	31
how many companys involved in the oil and gas ?	calculate the amount of market value for these companys .	calculate the amount of market value for companys involved in the oil and gas .	31
In contrast to ohisama, did hana yori dango 2 have more wins ?	In contrast to youkame no semi ?	In contrast to youkame no semi, did hana yori dango 2 have more wins ?	118
what is the result of the hypo-meeting in 2010 ?	what are the venues in next year ?	what are the venues in 2011 ?	48
how many times has election been held?	limit them between 1977-80	how many times has election been held between 1977-80?	71
which team has more pointes for than points against	what for more tries for than tries against	which team has more tries for than tries against	56
name the home team when away team is kilmarnock	what about the score?	what about the score when away team is kilmarnock	88
which school has a location of peru ?	what about bunker hill ?	which school has a location of bunker hill ?	35
how much money does player jack nicklaus earn ?	in the place t2 .	how much money does player jack nicklaus earn in the place t2 .	98
how many players have the pick more than 10	just for position point guard	how many players have the pick more than 10 just for position point guard	50
what is the total amount of attendance in date september ?	what about in October	what is the total amount of attendance in date October ?	82
how many seasons got points less than 100?	how many other seasons?	how many seasons got points not less than 100?	85
how many titles are created before 1947 ?	sort them by the year number .	sort titles which are created before 1947 by the year number .	43
for all leading scorer, list their goals in different league	by year descending	for all leading scorer, list their goals in different league by year descending	53
Display the average area km 2 of all member states .	show the sum of them .	show the sum of area km 2 of all member states .	79
which players used to be antrim's opponents?	sorted them by rank	The players used to be antrim's opponents amd sorted by rank	78
are all the english titles has the same official # as tf1 # ?	show them in air date 9 may 2007 .	show all the english titles which has the same official # as tf1 # in air date 9 may 2007.	112
how many ships have sunk in the history	how about from greece	how many ships have sunk in the history from greece	102
how many of total attendance listed in the chart	what's the most?	how many of most attendance listed in the chart	88
how many lbs of weight does lex hilliard have	does chad have more	does chad have more lbs of weight than lex hilliard	55
After october13,2009, how many series have u.s. viewers more than 13 ?	limit them also before february9,2010 .	After october13,2009 and before february9,2010, how many series have u.s. viewers more than 13 ?	45
what date did the ravens play the buffalo bills ?	play the baltimore colts ?	what date did the ravens play the baltimore colts ?	65
display all the attendances of team real espana.	I men the home team real espana .	display all the attendances of home team real espana.	117
which league is the last?	what about the first?	which league is the first?	53
which series has more u.s. viewers than 14 ?	what is its director ?	what is the director of series which has more u.s. viewers than 14 ?	45
what player is picked before 2 ?	how about his position?	what is the position of the player who is picked before 2?	1
which ensembles has more gold medals than silver medals ?	what if less than	which ensembles has less gold medals than silver medals ?	101
where is the location of challenge "southwestern exposure", a twelve-egg omelette ?	what is the original airdate of it ?	what is the original airdate of challenge "southwestern exposure", a twelve-egg omelette ?	23
Is the most viewers larger than 6.00 ?	is it less than 8.00 ?	Is the most viewers less than 8.00 ?	111
compare money earned by jack nicklaus with bill collins .	which player earned money more than them ?	which player earned money more than money of jack nicklaus and bill collins ?	98
which team has the most points in the series formula one	in other series	which team has the most points in the series besides formula one	87
which drama series haven't ever ranked in the top 5	If it is the top 3, what is the result?	which drama series haven't ever ranked in the top 3	2
what was the total number of blank ends located in ontario ?	what was the largest of blank ends in other locales ?	what was the largest of blank ends in locales except ontario .	42
how many townships of every country	Only keep whose pop. more than 25	how many townships of every country whose pop. more than 25	19
what is the total number of people in attendance when the game was at td banknorth garden , in a game higher than 31 ?	what is the average?	what is the average number of people in attendance when the game was at td banknorth garden , in a game higher than 31 ?	72
how many points are acquired in date november 13 ?	how many in november 23 ?	how many points are acquired in date november 23 ?	119
which premier cup competition was held at the latest ?	has the attendance more than 1,769 ?	which premier cup competition has the attendance more than 1,769 was held at the latest ?	120
which nationality has swimmers in the top 10 rank ?	how about 20 ?	which nationality has swimmers in the top 20 rank ?	116
what is the rank for heat : lane of 4 : 1 ?	which name has a higher rank than it ?	which name has a higher rank than the rank for heat : lane of 4 : 1 ?	69
who's the only team with total equal to 222 ?	what is total over 200 ?	who's the only team with total over 200 ?	93
what is the blank ends when the skip is steve laycock ?	what is the stolen ends ?	what is the stolen ends when the skip is steve laycock ?	42
the only two players in year inducted 1969 ?	how about in 1961 ?	the only two players in year inducted 1961 ?	97
Does the sum of vote percentages equal to 1 ?	Does the average of them greater than 10% ?	Does the average of vote percentages greater than 10% ?	21
name the artist just before laiptai if ordered by place from small to large.	by the televote ?	name the artist just before laiptai if ordered by televote from small to large.	94
list all performers whose points is between 40 and 70 .	all songs .	list all songs whose points is between 40 and 70 .	66
After year 1961, is there any leading score that have more than 40 goals	remove after year 1961	is there any leading score that have more than 40 goals	53
other than georgia, show another team that has loss more than 7	if is florida ?	other than florida, show another team that has loss more than 7	81
which teams have more men's than their women's .	which of them have the highest rank ?	which of teams who have more men's than their women's have the highest rank ?	93
how many organizations got the award newcomer actress ?	what if best actress ?	how many organizations got the award best actress ?	118
for each opponent, list the scores	where decision is brodeur	for each opponent, list the scores where decision is brodeur	58
which astronaut who was from the agency nasa had evas 8 times ?	then from rsa had 6 times ?	which astronaut who was from the agency rsa had evas 6 times ?	6
which team has the nickname of zips	what about other nicknames?	which team has the nickname besides zips	52
what is the game with the team indiana ?	how about with other teams	what is the game with the team besides indiana ?	54
how many titles were created with the director artie mandelberg	with rohn schmidt	how many titles were created with the director rohn schmidt	3
which ship is the only one of total loss ?	Is it from usa or uk ?	Is ship which is the only one of total loss from usa or uk ?	102
In year 1961, sort listed stadiums by their attendance in a ascending order	in descending .	In year 1961, sort listed stadiums by their attendance in a descending order	5
how many positions are associated with the st. louis blues ?	associated with the los angeles kings ?	how many positions are associated with the los angeles kings ?	46
In the table, which season has more wins than 2005	what were their series	In the table, which series has more wins than 2005	70
sum the change of countries grouped by their region	use average as the indicator	average the change of countries grouped by their region	9
name the most official # for tf1 # being 42	show top 3 for all tf1 # .	name the top 3 official # .	112
what is the total number of televote for the artist pokeris when the place was less than 10 ?	what is the only song of this artist ?	what is the only song of pokeris ?	94
what is the team with a date with december 11 ?	show the record of that date	show the record with a date with december 11 ?	54
what 's the smallest number of bronze medals ?	also show silver medals	what 's the smallest number of bronze medals and silver medals ?	101
what is the score of player brian watts , who has a to par of 5 ?	for other players	what is the score of players except brian watts, who has a to par of 5 ?	67
how many players are in brose baskets .	In those players, how many are in the position of sg ?	In players in brose baskets, how many are in the position of sg ?	37
Is there any title written by ross brown ?	by julia newton ?	Is there any title written by julia newton ?	41
how many publications are in the year 2008?	how many are in the next year ?	how many publications are in the year 2009?	32
compare the boston blazers's score to new york saints	compare the record.	compare the boston blazers's record to new york saints .	95
how many dam or reservoir are from kodiak island ?	for aleutians east ?	how many dam or reservoir are from aleutians east ?	107
how many km 2 does eastern cape have ?	how about free state	how many km 2 does free state have ?	89
which position has the best points ?	compare it to position 5	compare position which has the best points to position 5 .	36
how big is the gap between stark's park and balmoor in capacity	look at between stark's park and glebe park	how big is the gap between stark's park and glebe park in capacity	4
after year 2000, how many teams choose to use honda ?	after 2005, how many of them ?	after year 2005, how many teams choose to use honda ?	27
please list the counties whose obama votes more than 10,000	set scope to mccain votes	please list the counties whose mccain votes more than 10,000	15
based on document docd, group all recordings about lovie austin blues serenaders	based on the jsp ?	based on jsp, group all recordings about lovie austin blues serenaders	92
how many ships are sunk or damaged ?	which one has the least tonnage ?	which ships sunk or damaged has the least tonnage ?	102
how many players have ever ranked into the best 5 ?	what if they in galway	how many players in galway have ever ranked into the best 5 ?	78
timothy truman worked on what dates	Is he the writer of the first published book in this table	Is timothy truman the writer of the first published book in this table	7
group all couples using result and judges	only using result	group all couples using result	21
how many competition has more than 1,769 attendance ?	remove which in league	how many competition has more than 1,769 attendance excluding in league ?	120
which season has more gian slalom than slalom ?	if super g equal to giant slalom ?	which season has super g equal to giant slalom ?	90
how many television services grouped by package	how about it by content grouping	how many television services grouped by content	14
name the number of record for united center 18,838	name its date	name the date for united center 18,838	54
how many couples won the mixed doubles in 1997 ?	how many in next year?	how many couples won the mixed doubles in 1998 ?	10
on what date prior to week 14 was the record 7-1 ?	prior to week 5 ?	on what date prior to week 5 was the record 7-1 ?	65
how many audio coding use the pcm 4 ch/16 bit/48khz ?	how many use pcm 8 ch/24 bit/48khz, or 4 ch/24 bit/48khz ?	how many audio coding use the pcm 8 ch/24 bit/48khz, or 4 ch/24 bit/48khz ?	109
what's the difference in year 2009-10	in the respect of position, compare it to other years	in the respect of position, compare year 2009-10 to other years	53
who wrote the last title to be produced?	how many u.s. viewers (million) see it?	how many u.s. viewers (million) see the last title	91
which date received the least attendance?	from week 1 to week 9	which date from week 1 to week 9 received the least attendance?	65
group all players based on their country	sort these players according to their money .	sort these players according to their money .	98
name the least pick number for colin campbell	the biggest	name the biggest pick number for colin campbell	46
what is the french name of dream vacation ?	what is the official # ?	what is the official # of dream vacation ?	112
list ensembles which just have 3 total medals	if less than 4?	list ensembles which just have less than 4 total medals	101
what is the location and attendance of the game with a game number greater than 7 and a record of 5-2-1 ?	remove game number greater than 7	what is the location and attendance of the game with a record of 5-2-1 ?	58
what is winner , when location is connie mack stadium ?	and when year is 1946 ?	what is winner , when location is connie mack stadium and when year is 1946 ?	24
what is the position of the player from the toronto raptors ?	what if from union olimpija ?	what is the position of the player from union olimpija ?	37
which draft is the earliest in the table	what about the latest	which draft is the latest in the table	80
how many points were scored by rolla bigelow ?	how many extra points	how many points and extra points were scored by rolla bigelow	8
Is the highest attendance of mcg more than scg ?	how about the average ?	Is the average attendance of mcg more than scg ?	76
what was the result of the game before week 9 with an attendance of 49,970 ?	before 5 ?	what was the result of the game before week 5 with an attendance of 49,970 ?	113
when leading scoer is gary talbot, the best position of football league division 4	what about leading scorer terry owen	when leading scoer is terry owen, the best position of football league division 4	53
what position did calvin mccarty play ?	what if the player eric maranda?	what position did the player eric maranda play ?	1
of every challenge winner, show their challenges.	sort them by original airdate	of every challenge winner, show their challenges and sort by original airdate.	23
In which game, Maple Leaf won the most points	when it happened?	In which date, Maple Leaf won the most points	72
which university's nickname is related to buckeyes ?	which is related to golden flashes ?	which university's nickname is related to golden flashes ?	96
what is the position for discus in 2013 ?	In the previous year ?	what is the position for discus in 2012?	104
who directed the episode that was greater than 74 in the series , and had `` life class '' as the title ?	then who is the writer?	who wrotet the episode that was greater than 74 in the series , and had `` life class '' as the title ?	86
compared to glebe park, does hampden park holds more attendances at capacity?	how about compared to balmoor	compared to balmoor, does hampden park holds more attendances at capacity?	4
for all teams, show their tries for and tries against	remove tries against	for all teams, show their tries for	56
what are the total amount of titles for each director	for each writer?	what are the total amount of titles for each writer	86
average weight and height of all players	by height ascending	average weight and height of all players by height ascending	55
In finland, what is the population , in thousands ?	show both in finland and cyprus .	In finland and cyprus, what is the population , in thousands ?	79
how much of market value, in billion $, was the exxonmobil ?	how much of assets ?	how much of assets , in billion $, was the exxonmobil ?	31
calculate the average bit depth of dv video coding .	what format name does it use ?	what format name does dv video coding use ?	109
what is the average number of laps for max biaggi	how much time does he use ?	how much time does max biaggi use ?	77
grouped by location, show sum of attendance in the season	grouped by score again	grouped by score , show sum of attendance in the season	72
compared with mcg, does scg has more attendance in total ?	sum of attendance except these two venues.	sum of attendance except mcg and scg .	76
how many measurements of population density from the czech republic are recorded in this table ?	from the germany ?	how many measurements of population density from the germany are recorded in this table ?	79
what is the score on october 7 ?	on the same date, what is the record ?	on october 7, what is the record ?	106
the least won for all seasons is ?	how about the most?	the most won for all seasons is?	85
lost less than 10, show all eligible teams	And lost larger than 8.	lost less than 10 and larger than 8, show all eligible teams	36
what were all of the series?	also show me season	what were all of the series and season?	70
which order is the only red list equals to 6 .	how many one are greater ?	how many orders has the red list greater than 6 .	39
which team has the maximum average attendances	the minimum	which team has the minimum of average attendances	4
what astronaut has the total time just longer than yurchikhin fyodor yurchikhin	for wheelock douglas h. wheelock	what astronaut has the total time just longer than wheelock douglas h. wheelock	6
Which stadium has a capacity of more than 4000 ?	how about less than 2000 ?	Which stadium has a capacity of less than 2000 ?	4
compare the number of viewers directed by james marshall and jeannot szwarc .	What about james marshall and pat williams ?	compare the number of viewers directed by james marshall and pat williams .	29
which province has the arabs 2011 greater than 30000 ?	Among them, show the smallest one.	Among the province with the arabs 2011 greater than 30000, show the smallest one.	20
how many different nationalities listed in the table	how about positions ?	how many different positions listed in the table	50
what is the name of the last season on this chart?	then what about the points?	what is the points of the last season on this chart?	85
sort different vfl club by their number of vfl games	sort the player by it	sort the player by their number of vfl games	17
Are all the gross more than $60,000,000	what about $10,000,000 more	Are all the gross more than $70,000,000	73
which document was recorded earliest?	which at the latest ?	which document was recorded latest ?	92
please list the constituency that received over 40,000 total poll.	over 50,000 total poll	please list the constituency that received over 50,000 total poll.	11
compare the team of auburn to florida in home record	compare in their overall record	compare the team of auburn to florida in their overall record	81
what player has a score less than 66 , and a place of t2 , in the united states ?	how about for all countries ?	what player has a score less than 66 and a place of t2 ?	67
show the artists of song evertown, stone and to my soul.	how many televotes does they have ?	how many televotes does the artists of song evertown, stone and to my soul have ?	94
which player has the maximum picks ?	from college syracuse ?	which player from college syracuse has the maximum picks ?	33
which title is after "vanished" ?	Is that title written by wil zmak ?	Is the title after "vanished" written by wil zmak ?	44
how many titles were created with the director richard correll ?	where the titles were created with richard correll and the production code is 447009	how many titles were created with richard correll where the production code is 447009?	41
which university has the newspaper named the bg news ?	also show the location .	which university and location has the newspaper named the bg news ?	96
what is the earliest year for alabama with a pick under 26 ?	how is for usc ?	what is the earliest year for usc with a pick under 26 ?	33
does the austria or the czech republic have a higher population in thousands?	In these two members, which have a higher area km 2 ?	does the austria or the czech republic have a higher area km 2 ?	79
Display the number of memorial stadium games	what about tiger stadium	Display the number of tiger stadium games	82
in what year was the only ya-da-do with a jazz band?	what is the document doc ?	what is the document doc of the only ya-da-do with a jazz band ?	92
sort performers by points and rank in ascending order.	also sort songs.	sort performers and songs by points and rank in ascending order.	66
being ordered by pick in the descending order, show players	show positions	being ordered by pick in the descending order, show positions	50
how many football team come from croatia	what is the number of other countries ?	how many football team come from countries except coratia ?	75
what is the number of attendance in the whole season?	for each stadium	what is the number of attendance for each stadium in the whole season?	51
according to attendance, sort all the game scores.	sort all opponents using the score .	sort all opponents using the score .	95
show points after position 7	sum of it before position 14 .	sum of points before position 14 .	36
show all players grouped by position and school .	only grouped by school .	show all players grouped by school	26
what is the gap in attendance between week 1 and week 6 ?	how about week 1 and week 10 ?	what is the gap in attendance between week 1 and week 10 ?	113
what was the largest number on the list?	the largest total evas ?	what was the largest total evas on the list?	6
what episode # had 5.46 million viewers ?	show series # .	what series # had 5.46 million viewers ?	111
compare laps of frank gardner and bob brown	then what about warren weldon and bill slattery	compare laps of warren weldon and bill slattery	83
show the teams whose road wins equal to home wins .	of those, which team has largest home win pct. ?	of the teams whose road wins equal to home wins, which team has largest home win pct. ?	22
what was the university of akron 's enrollment ?	what is its founded year ?	what is founded year of the university of akron 's enrollment ?	96
who tied for the highest rebounds during the game against orlando ?	show the high points	who is the high points during the game against orlando ?	54
nerri's televotes vs mini me	which has a higher place in those artists ?	which has a higher place in nerri, or mini me ?	94
what's the position of ryan ackerman ?	which players played the same position as him?	which players played tthe same position as ryan ackerman ?	1
how many home team win the away team ?	how many lost?	how many home team lost the away team	88
what was the score when 7260 people attended the game ?	what was the record ?	what was the record when 7260 people attended the game ?	95
what was the home team score when brisbane lions was the home team ?	what was the away team score	what was the away team score when brisbane lions was the home team ?	16
which event occurred in the latest year ?	what is the position ?	what is the position in the latest year ?	104
how many times does philadelphia flyers appear in the list	how about new york rangers?	how many times does new york rangers appear in the list?	58
how many times did new york jets win in home games ?	Compare it with new york giants	Compare the times that new york jets wins in home games with new york giants	22
what is the location and attendance of game 70 ?	how about game 20	what is the location and attendance of game 20 ?	54
what is the highest matrix when the recording date is 1926/03 ?	when the date is 1923/12 ?	what is the highest matrix when the recording date is 1923/12 ?	92
which Intel DX4 S-Specs's voltage range is not 3.1 - 3.6	how about others?	which Intel DX4 S-Specs's voltage range is 3.1 - 3.6	60
how many company have the higher profits than petrochina ?	what about than citigroup ?	how many company have the higher profits than citigroup ?	31
What is the premiere with the hk viewers reaching 2.09 million?	what 's the premiere of just love ?	what 's the premiere of just love ?	2
what is the sum of round , when college is norfolk state ?	how about college northeastern ?	what is the sum of round , when college is northeastern ?	110
Minimum points for the 1969-70 season	1971-72 season 	Minimum points for the 1971-72 season 	85
How many games took place from January 11, 1992 to April 4, 1992?	From January 7, 1995 to January 4, 1997?	How many games took place from January 7, 1995 to January 4, 1997?	95
sort constituency using the number of electorate in a descending order.	turn to ascending.	sort constituency using the number of electorate in an ascending order.	11
in which year did 3rd tama film award got the result won ?	in which year got the nominated ?	in which year did 3rd tama film award got the result nominated ?	118
what is the college/junior/club team for player don barber ?	what is his nhl team ?	what is the nhl team for player don barber ?	46
does the season 1970–71 have more points than 1975–76?	Is it more than 1977-78?	does the season 1970–71 have more points than 1977-78?	85
list the drivers whose laps are top ten	what about top five	list the drivers whose laps are top five	83
List all universities founded before 1855.	Show their number.	Show the number of all universities founded before 1855.	96
which province had the largest population, free state or north west ?	then how about the area	which province had the largest area, free state or north west ?	89
after 2012, how many titles were directed by paris barclay ?	what's the name of each title?	after 2012, show me titles that directed by paris barclay ?	91
how many winners are there per location ?	Show the largest one.	Show the location with the largest number of winners.	24
show studio hosts of bob cole	compare it to jim hughson.	compare studio hosts of bob cole to jim hughson.	30
which giant slalom was obtained in the 1997 season ?	what about other seasons?	which giant slalom was obtained except the 1997 season ?	90
what's k. j. choi 's to par ?	what's for other players ?	what's players' to par besides k. j. choi ?	67
where was the game on 1990-11-18 ?	on 1995-09-03 ?	where was the game on 1995-09-03 ?	113
which week has more attendance than 49,250 ?	if more than 49,970 ?	which week has more attendance than 49,970 ?	113
which opponent received over 537 attendance .	which got the result won 5-4 ?	which opponent received over 537 attendance and got the result won 5-4 ?	120
show the amount of gold medals and silver medals of center grove high school	Just show the amount of bronze medals.	show the bronze medals of center grove high school.	101
